,Store Name,Age,Comments Count,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
316,הבית שלך ,8.0,974.0,940.0,27.0,7.0,21.0,40.0,90.0
317,פרי דיו ,16.0,1204.0,1116.0,75.0,32.0,87.0,124.0,190.0
318,Zol4u זול פור יו ,19.0,712.0,570.0,133.0,1.0,5.0,13.0,28.0
319,פיסי אונליין ,10.0,681.0,619.0,60.0,10.0,20.0,31.0,64.0
320,שופיפט ,2.0,32.0,29.0,3.0,0.0,2.0,5.0,20.0
321,גלובל סלולר ,1.0,29.0,28.0,1.0,0.0,3.0,6.0,28.0
322,פלאטק ,7.0,826.0,799.0,24.0,2.0,18.0,32.0,65.0
323,דוקטור צ יפ ,12.0,513.0,480.0,30.0,2.0,19.0,28.0,95.0
324,Goodest ,3.0,233.0,230.0,3.0,5.0,15.0,31.0,58.0
325,OCTech ,2.0,131.0,128.0,3.0,7.0,9.0,22.0,59.0
326,וי מובייל ,14.0,1347.0,1174.0,158.0,0.0,7.0,11.0,29.0
327,דיירקט ישראליין ,12.0,690.0,631.0,57.0,6.0,14.0,25.0,42.0
328,TopMobile ,7.0,479.0,426.0,51.0,1.0,9.0,11.0,24.0
329,אלקטריק שופ ,4.0,255.0,247.0,7.0,3.0,16.0,22.0,36.0
330,קינג גיימס ,6.0,122.0,114.0,8.0,2.0,5.0,15.0,24.0
331,פוטו נגבה ,18.0,714.0,694.0,18.0,7.0,11.0,18.0,29.0
332,Buy Buy ,20.0,485.0,414.0,68.0,3.0,11.0,13.0,22.0
333,שפע ספוט ,18.0,445.0,428.0,13.0,0.0,0.0,0.0,6.0
334,טאצ סטור ,5.0,355.0,345.0,9.0,3.0,17.0,34.0,69.0
335,שופ אלקטרונז ,10.0,289.0,266.0,21.0,3.0,12.0,16.0,34.0
336,סיגנאל מעבדות ,12.0,166.0,161.0,5.0,1.0,3.0,14.0,23.0
337,מובייל אילת ,5.0,42.0,41.0,1.0,0.0,3.0,15.0,22.0
338,טכנו שלמה ,3.0,194.0,182.0,9.0,2.0,9.0,14.0,36.0
339,אופק פי סי ,18.0,152.0,126.0,24.0,5.0,10.0,14.0,21.0
340,פי סי סנטר ,20.0,1215.0,1118.0,88.0,2.0,10.0,13.0,34.0
341,חשמל נטו ,17.0,868.0,798.0,63.0,0.0,18.0,32.0,82.0
342,X Wear ,10.0,113.0,79.0,34.0,0.0,0.0,2.0,20.0
343,גיים מובייל ,10.0,700.0,612.0,78.0,2.0,7.0,9.0,19.0
344,כרמל פיסי ,9.0,180.0,176.0,4.0,6.0,6.0,8.0,19.0
345,צבר אקספרס ,6.0,694.0,664.0,28.0,1.0,7.0,26.0,58.0
346,החשמל לצרכן ,13.0,355.0,331.0,20.0,2.0,5.0,10.0,27.0
347,מחיר מנצח ,14.0,660.0,643.0,15.0,2.0,7.0,22.0,51.0
348,חשמל במחירים ,9.0,504.0,462.0,40.0,2.0,4.0,12.0,38.0
349,TMAudio ,7.0,244.0,238.0,6.0,0.0,9.0,13.0,17.0
350,ThreeSixty ,7.0,104.0,100.0,4.0,1.0,5.0,8.0,17.0
351,SaleOut ,2.0,25.0,24.0,1.0,4.0,6.0,6.0,17.0
352,אנג וי סטיק ,19.0,370.0,331.0,35.0,7.0,9.0,20.0,62.0
353,חשמל חכם ,3.0,269.0,265.0,4.0,2.0,7.0,12.0,33.0
354,PHONEX ,4.0,261.0,257.0,4.0,0.0,5.0,13.0,29.0
355,גיימסטורם ,4.0,113.0,108.0,5.0,2.0,8.0,15.0,31.0
356,גיים סטור ,8.0,91.0,76.0,14.0,2.0,7.0,9.0,31.0
357,בסט טולס ,13.0,62.0,54.0,8.0,1.0,4.0,5.0,16.0
358,קינג בייבי ,12.0,191.0,181.0,8.0,2.0,5.0,5.0,15.0
359,רפואה סנטר ,4.0,115.0,106.0,7.0,0.0,4.0,10.0,15.0
360,האשטג מובייל ,2.0,65.0,62.0,3.0,4.0,16.0,35.0,45.0
361,ענק החשמל ,10.0,1042.0,956.0,79.0,4.0,20.0,33.0,70.0
362,אלקטריק סמייל ,10.0,109.0,101.0,8.0,1.0,2.0,13.0,29.0
363,אלקטריק פומפה ,20.0,2198.0,1690.0,480.0,13.0,57.0,96.0,191.0
364,אלקטריק סייל ,5.0,340.0,314.0,26.0,3.0,9.0,18.0,41.0
365,איציק ורועי ,14.0,285.0,272.0,13.0,1.0,3.0,11.0,14.0
366,אלקטריק סנטר ,1.0,15.0,14.0,1.0,2.0,2.0,6.0,14.0
367,וירטואל חשמל ,5.0,124.0,117.0,7.0,0.0,1.0,3.0,13.0
368,בביוף מחשבים ,2.0,86.0,80.0,4.0,7.0,16.0,30.0,61.0
369,פון פליי ,5.0,3119.0,2918.0,184.0,31.0,120.0,275.0,642.0
370,רפאלי ,17.0,1252.0,1179.0,71.0,2.0,18.0,40.0,93.0
371,imobile israel ,3.0,189.0,182.0,7.0,1.0,12.0,19.0,53.0
372,חשמל שירי ,9.0,171.0,167.0,3.0,1.0,10.0,16.0,30.0
373,הייטק מובייל ,2.0,68.0,60.0,7.0,4.0,12.0,33.0,55.0
374,י רובין ,24.0,896.0,862.0,28.0,3.0,25.0,37.0,82.0
375,חצי חינם ,18.0,560.0,543.0,13.0,1.0,4.0,5.0,12.0
376,slimprice ,13.0,516.0,434.0,76.0,0.0,4.0,6.0,12.0
377,גילילנס ,15.0,244.0,232.0,11.0,0.0,1.0,5.0,15.0
378,טבע בעיר ,7.0,104.0,98.0,4.0,2.0,10.0,18.0,36.0
379,דיו למדפסת ,2.0,14.0,13.0,1.0,0.0,0.0,0.0,12.0
380,O PHARM ,7.0,325.0,306.0,17.0,0.0,5.0,10.0,28.0
381,די וי די סנטר ,15.0,153.0,150.0,3.0,1.0,10.0,11.0,19.0
382,4Com ,13.0,107.0,103.0,4.0,0.0,0.0,0.0,11.0
383,itechstore ,13.0,2839.0,2541.0,280.0,48.0,106.0,214.0,410.0
384,ליאור מוצרי חשמל ,6.0,681.0,618.0,56.0,4.0,17.0,25.0,82.0
385,סמארט דיל ,13.0,866.0,824.0,37.0,2.0,14.0,20.0,38.0
386,נינג ה פולו ,16.0,758.0,686.0,57.0,0.0,6.0,10.0,25.0
387,אינקדיפו ,11.0,342.0,327.0,14.0,0.0,1.0,1.0,10.0
388,אננס גלובל ,14.0,104.0,102.0,2.0,2.0,4.0,4.0,10.0
389,סלפי ,9.0,771.0,720.0,48.0,15.0,25.0,68.0,94.0
390,קלאב פארם ,5.0,389.0,366.0,20.0,9.0,30.0,48.0,85.0
391,SPORTAL ,18.0,95.0,90.0,5.0,0.0,0.0,0.0,17.0
392,תותח ,6.0,43.0,36.0,7.0,0.0,0.0,4.0,7.0
393,דיגיטל אלקטריק ,13.0,1326.0,1200.0,119.0,11.0,46.0,82.0,140.0
394,פרינטר דיל ,8.0,478.0,417.0,54.0,0.0,20.0,35.0,76.0
395,שוק החשמל ,2.0,95.0,87.0,8.0,3.0,10.0,17.0,81.0
396,סיטי דיל ,21.0,2068.0,1704.0,351.0,37.0,115.0,198.0,333.0
397,איי סל ,15.0,214.0,180.0,33.0,0.0,1.0,4.0,28.0
398,דרור כלי עבודה ,11.0,170.0,155.0,13.0,0.0,7.0,15.0,44.0
399,אור מובייל ,5.0,106.0,86.0,20.0,5.0,11.0,16.0,25.0
400,חשמל חצי חינם ,4.0,47.0,41.0,6.0,1.0,2.0,10.0,16.0
401,דוידי ,20.0,1766.0,1559.0,182.0,2.0,6.0,12.0,47.0
402,אדס מחשבים ,20.0,448.0,395.0,48.0,0.0,0.0,1.0,9.0
403,אפ מזגנים ,7.0,58.0,56.0,2.0,1.0,2.0,2.0,9.0
404,עולם הקולנוע ,10.0,2184.0,1833.0,325.0,3.0,41.0,102.0,247.0
405,רוקי ספורט ,18.0,687.0,607.0,75.0,1.0,5.0,23.0,33.0
406,אלכסנדר ,16.0,286.0,240.0,44.0,2.0,9.0,22.0,34.0
407,ברז ,19.0,11.0,10.0,1.0,3.0,5.0,5.0,6.0
408,דיו ישראל ,16.0,239.0,203.0,31.0,1.0,8.0,15.0,24.0
409,דמבו ,9.0,223.0,218.0,5.0,6.0,6.0,6.0,8.0
410,ג נרל ,18.0,74.0,65.0,8.0,2.0,2.0,4.0,8.0
411,Electro Y ,7.0,73.0,70.0,3.0,0.0,3.0,3.0,8.0
412,מוזספון ,2.0,30.0,29.0,1.0,0.0,1.0,2.0,8.0
413,אולטרה שופ ,2.0,21.0,19.0,1.0,1.0,3.0,4.0,8.0
414,בלילה ,11.0,10.0,8.0,2.0,1.0,3.0,6.0,8.0
415,סקופ דיגיטל ,6.0,228.0,198.0,28.0,3.0,8.0,18.0,59.0
416,דיאז ,14.0,251.0,186.0,64.0,9.0,23.0,49.0,58.0
417,יהלום הבית ,7.0,52.0,38.0,12.0,0.0,0.0,4.0,15.0
418,אייפרו ,11.0,17.0,15.0,2.0,0.0,0.0,4.0,15.0
419,גאדג ט מובייל ,13.0,773.0,600.0,163.0,0.0,2.0,5.0,29.0
420,גרף פי סי ,15.0,336.0,277.0,54.0,3.0,6.0,9.0,18.0
421,מובייל לנד ,8.0,1215.0,991.0,211.0,15.0,41.0,78.0,164.0
422,1PC ,16.0,1085.0,955.0,125.0,12.0,40.0,57.0,72.0
423,פון טק ,9.0,335.0,302.0,33.0,9.0,42.0,72.0,132.0
424,עולם המוזיקה ,15.0,179.0,168.0,10.0,0.0,1.0,3.0,7.0
425,Bath line ,9.0,145.0,139.0,5.0,0.0,0.0,2.0,7.0
426,ראנר מערכות ,2.0,9.0,9.0,0.0,0.0,0.0,0.0,2.0
427,אי ליין ,20.0,3273.0,2634.0,602.0,10.0,34.0,37.0,63.0
428,בראנד אספקה טכנית ,9.0,592.0,556.0,32.0,4.0,17.0,28.0,79.0
429,גלדיאטור ,4.0,331.0,313.0,18.0,0.0,18.0,38.0,91.0
430,דיופיקס ,9.0,2209.0,1949.0,246.0,20.0,74.0,131.0,272.0
431,עולם הכלים ,6.0,64.0,59.0,3.0,0.0,0.0,0.0,13.0
432,ספורט סנטר ,15.0,305.0,261.0,42.0,0.0,0.0,2.0,45.0
433,אייבורי ,17.0,2035.0,1874.0,148.0,2.0,6.0,9.0,75.0
434,שניידר ,17.0,1362.0,1236.0,117.0,4.0,5.0,9.0,12.0
435,סולן ,20.0,266.0,233.0,29.0,0.0,0.0,0.0,6.0
436,עמיטל ,13.0,251.0,242.0,8.0,0.0,4.0,4.0,6.0
437,18comp ,12.0,131.0,115.0,16.0,2.0,2.0,5.0,6.0
438,קמחי כלי עבודה ,7.0,1142.0,1014.0,108.0,7.0,30.0,61.0,101.0
439,דיל אונליין ,5.0,502.0,427.0,73.0,14.0,37.0,58.0,132.0
440,סייל פרייס ,8.0,336.0,273.0,60.0,2.0,17.0,23.0,45.0
441,פסגת החשמל ,14.0,146.0,131.0,14.0,0.0,3.0,17.0,35.0
442,הלב ץ ברוך בע מ ,7.0,230.0,213.0,12.0,2.0,3.0,3.0,8.0
443,המרכז הארצי למכונות קפה ,12.0,37.0,28.0,9.0,0.0,0.0,1.0,4.0
444,פירסט פרייס ,14.0,181.0,137.0,42.0,0.0,4.0,15.0,27.0
445,אלקטרו כהן ,16.0,384.0,336.0,43.0,1.0,2.0,6.0,16.0
446,Sim Free ,11.0,1175.0,959.0,209.0,2.0,17.0,51.0,74.0
447,קייט פון ,8.0,143.0,122.0,20.0,0.0,2.0,7.0,18.0
448,חינם פלוס ,13.0,224.0,170.0,53.0,1.0,6.0,16.0,22.0
449,נייט נט ,14.0,739.0,715.0,21.0,0.0,0.0,2.0,5.0
450,ארליך ,15.0,538.0,477.0,57.0,0.0,3.0,3.0,10.0
451,גוד טיים ,13.0,253.0,217.0,34.0,0.0,2.0,3.0,10.0
452,מרכז הסאונד ,13.0,244.0,210.0,31.0,0.0,3.0,3.0,5.0
453,אוסקר בעמ ,18.0,76.0,65.0,10.0,0.0,1.0,3.0,5.0
454,מחסני השרון ,6.0,64.0,57.0,7.0,2.0,2.0,3.0,5.0
455,אוניקס בוקס בישראל ,3.0,34.0,29.0,5.0,1.0,2.0,2.0,10.0
456,מחסני דיו ,12.0,1199.0,971.0,225.0,5.0,31.0,41.0,72.0
457,המבורגר ברוס ,12.0,349.0,288.0,61.0,2.0,16.0,33.0,42.0
458,היבואן ,14.0,284.0,233.0,49.0,2.0,4.0,5.0,9.0
459,קול פול CoolPool ,11.0,100.0,91.0,9.0,0.0,0.0,1.0,9.0
460,י ש מ ,5.0,84.0,76.0,7.0,1.0,4.0,4.0,9.0
461,סופר אלקטריק ,13.0,256.0,206.0,48.0,2.0,9.0,13.0,25.0
462,טקטויז ,20.0,231.0,176.0,55.0,1.0,4.0,7.0,7.0
463,קאמרה פלוס ,14.0,55.0,46.0,9.0,2.0,2.0,2.0,3.0
464,בייביס הום ,11.0,47.0,43.0,4.0,1.0,2.0,3.0,3.0
465,מבט אלקטריק ,18.0,383.0,295.0,83.0,4.0,22.0,38.0,61.0
466,BuyElectric ,13.0,346.0,295.0,48.0,1.0,4.0,10.0,21.0
467,azrieli com ,15.0,2536.0,1839.0,648.0,10.0,47.0,103.0,233.0
468,סמייל פון ,12.0,252.0,203.0,46.0,4.0,4.0,4.0,4.0
469,ספיד מחשבים ,20.0,244.0,185.0,55.0,1.0,5.0,8.0,8.0
470,אלי כהן חשמל ,6.0,101.0,63.0,36.0,0.0,0.0,1.0,4.0
471,בית הפקס ,19.0,70.0,59.0,10.0,1.0,2.0,3.0,4.0
472,הידברות שופס ,4.0,70.0,58.0,12.0,1.0,5.0,10.0,12.0
473,מכובד ,6.0,60.0,59.0,1.0,1.0,1.0,2.0,4.0
474,אלמגור ,13.0,54.0,29.0,25.0,0.0,0.0,0.0,4.0
475,Sleeperz ,8.0,43.0,37.0,6.0,0.0,1.0,1.0,4.0
476,נייד נייד ,15.0,1371.0,1108.0,258.0,3.0,22.0,39.0,58.0
477,וולקום מחשבים ,16.0,452.0,377.0,71.0,3.0,6.0,12.0,18.0
478,Best Cell Celular ,7.0,899.0,703.0,186.0,2.0,8.0,14.0,63.0
479,PlaySmart ,3.0,33.0,29.0,4.0,1.0,6.0,9.0,15.0
480,צור מרקט ,6.0,189.0,169.0,17.0,1.0,2.0,4.0,17.0
481,נקסטק ,9.0,491.0,418.0,68.0,1.0,5.0,15.0,40.0
482,מדי פארם ,11.0,153.0,105.0,43.0,7.0,14.0,14.0,14.0
483,זוהר אלקטרוניקה ,12.0,117.0,94.0,22.0,2.0,2.0,4.0,7.0
484,קליק טוי ,7.0,166.0,97.0,69.0,4.0,19.0,46.0,64.0
485,סליפ נט ,18.0,207.0,189.0,16.0,1.0,3.0,6.0,10.0
486,eBath ,11.0,165.0,124.0,41.0,0.0,2.0,6.0,11.0
487,העיקר הבריאות ,14.0,97.0,86.0,11.0,0.0,2.0,2.0,3.0
488,דור ספורט ,15.0,96.0,63.0,31.0,1.0,2.0,2.0,3.0
489,סופר לנג ,10.0,93.0,86.0,6.0,0.0,0.0,0.0,1.0
490,אודם קוסמטיקה ,3.0,77.0,68.0,9.0,0.0,2.0,2.0,2.0
491,סי אלקטריק ,18.0,55.0,46.0,8.0,0.0,1.0,3.0,3.0
492,WowBuy ,2.0,20.0,18.0,2.0,1.0,2.0,4.0,6.0
493,נופטק מחשבים ,1.0,8.0,6.0,2.0,0.0,0.0,1.0,6.0
494,פיטבנדר ,2.0,4.0,3.0,1.0,0.0,0.0,1.0,3.0
495,צ יינה פון ,1.0,4.0,3.0,1.0,0.0,0.0,1.0,3.0
496,טאקס פרי ביוטי ,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
497,בסט אלקטריק ,19.0,531.0,372.0,155.0,1.0,6.0,34.0,61.0
498,דינמיקה ,14.0,426.0,283.0,140.0,0.0,3.0,7.0,32.0
499,אולסייל ,15.0,2394.0,1904.0,467.0,4.0,14.0,33.0,76.0
500,לאסטפרייס ,20.0,5293.0,4502.0,739.0,4.0,19.0,56.0,203.0
501,גאדג ט טים ,10.0,286.0,250.0,33.0,0.0,0.0,2.0,39.0
502,על גלגלים ,17.0,170.0,134.0,34.0,2.0,11.0,12.0,12.0
503,אינסייל Insale ,7.0,216.0,162.0,52.0,1.0,1.0,2.0,9.0
504,ביג דיל ,15.0,53.0,39.0,12.0,0.0,0.0,1.0,8.0
505,טרקלין חשמל ,14.0,590.0,454.0,134.0,0.0,1.0,1.0,18.0
506,דיילי סייל ,21.0,2227.0,1814.0,395.0,14.0,38.0,62.0,115.0
507,אודיו טק ,16.0,49.0,45.0,4.0,1.0,1.0,3.0,5.0
508,היבואנים ,1.0,78.0,56.0,22.0,2.0,9.0,22.0,56.0
509,1P1 ,1.0,13.0,9.0,4.0,0.0,0.0,2.0,9.0
510,מ מ ש ר אספקה טכנית בע מ ,8.0,618.0,553.0,60.0,1.0,3.0,9.0,15.0
511,באג ,19.0,353.0,204.0,139.0,2.0,16.0,30.0,53.0
512,אי זון ,15.0,398.0,287.0,104.0,1.0,6.0,13.0,22.0
513,CoffeeMan ,18.0,543.0,383.0,138.0,12.0,28.0,52.0,96.0
514,לובלינר ,18.0,214.0,144.0,67.0,1.0,3.0,7.0,7.0
515,יוגנד פוטו וידאו ,14.0,26.0,24.0,1.0,0.0,0.0,2.0,3.0
516,SO Stock Online ,5.0,124.0,89.0,33.0,3.0,12.0,17.0,22.0
517,וואלה שופס ,21.0,3128.0,2017.0,1065.0,3.0,29.0,88.0,166.0
518,איי ניד דיו ,15.0,165.0,100.0,64.0,2.0,4.0,4.0,6.0
519,חסון Online ,7.0,97.0,83.0,14.0,0.0,0.0,0.0,2.0
520,אגם המים ,7.0,28.0,20.0,8.0,0.0,0.0,0.0,2.0
521,פלד סקיוריטי ,13.0,24.0,18.0,6.0,0.0,0.0,1.0,2.0
522,ישראלי ,7.0,17.0,9.0,8.0,0.0,0.0,4.0,4.0
523,M אלקטריק ,2.0,79.0,52.0,27.0,0.0,0.0,0.0,31.0
524,עצמל ה ,20.0,124.0,65.0,59.0,0.0,1.0,7.0,21.0
525,3In100 ,6.0,93.0,87.0,6.0,0.0,0.0,1.0,1.0
526,בננה שופס ,4.0,43.0,28.0,15.0,0.0,0.0,2.0,8.0
527,פטיש ומסמר ,6.0,80.0,47.0,31.0,1.0,2.0,3.0,4.0
528,KOSKO ,18.0,217.0,207.0,10.0,0.0,0.0,1.0,3.0
529,Gadgets More ,7.0,257.0,220.0,37.0,0.0,1.0,2.0,8.0
530,XiStore ,5.0,265.0,183.0,81.0,0.0,5.0,10.0,18.0
531,ענק הקניות ,9.0,481.0,329.0,147.0,2.0,9.0,14.0,50.0
532,HomeLet ,9.0,1006.0,920.0,74.0,0.0,0.0,0.0,1.0
533,סברס ,7.0,284.0,273.0,10.0,0.0,0.0,0.0,2.0
534,גאדגט ליין ,13.0,129.0,61.0,65.0,0.0,1.0,1.0,4.0
535,Wi Wi וואי וואי ,9.0,100.0,94.0,5.0,0.0,1.0,1.0,2.0
536,דוקטור טונר ,5.0,44.0,29.0,15.0,0.0,2.0,2.0,4.0
537,טי די אס די ,7.0,41.0,27.0,13.0,0.0,0.0,0.0,4.0
538,פט פלנט ,18.0,37.0,31.0,5.0,0.0,0.0,0.0,1.0
539,רשת הגרעין ,6.0,33.0,19.0,13.0,0.0,0.0,0.0,1.0
540,פרפיום אקס ,5.0,29.0,19.0,10.0,0.0,0.0,0.0,2.0
541,Sea Pro ,9.0,21.0,15.0,6.0,0.0,0.0,0.0,1.0
542,מחיר טוב ,10.0,19.0,9.0,10.0,0.0,0.0,0.0,1.0
543,WeStock ,3.0,14.0,13.0,1.0,0.0,0.0,1.0,1.0
544,אוריאור ,7.0,11.0,7.0,4.0,0.0,0.0,1.0,1.0
545,אלוף הכלים ,1.0,10.0,5.0,5.0,0.0,1.0,4.0,5.0
546,ויטרסה ,2.0,6.0,3.0,3.0,1.0,1.0,1.0,3.0
547,תכלת מרדכי ,3.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0
548,בידן פלסתום ,8.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0
549,אוריאל מערכות ,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
550,עזורי ,14.0,1017.0,808.0,190.0,0.0,7.0,10.0,17.0
551,הממלכה הקטנה ,7.0,107.0,91.0,16.0,0.0,0.0,1.0,5.0
552,גלאור אונליין ,3.0,24.0,6.0,18.0,1.0,1.0,6.0,6.0
553,לחבר שלי ,11.0,11.0,4.0,6.0,0.0,0.0,0.0,1.0
554,מחסני חשמל ,7.0,2551.0,1929.0,601.0,0.0,0.0,0.0,36.0
555,אבי סופר ,3.0,36.0,10.0,26.0,1.0,2.0,2.0,4.0
556,Bath Plus ,7.0,25.0,22.0,3.0,0.0,1.0,1.0,1.0
557,eLight ,4.0,8.0,4.0,4.0,0.0,0.0,0.0,1.0
558,בסט BEST ,14.0,474.0,201.0,269.0,7.0,20.0,33.0,63.0
559,אילת דיפו ,5.0,43.0,30.0,10.0,0.0,0.0,0.0,0.0
560,עולם ההגנה ,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
561,שופרסל Online ,5.0,219.0,32.0,182.0,0.0,0.0,1.0,5.0
562,ג מבו מול ,2.0,11.0,4.0,7.0,0.0,0.0,0.0,2.0
563,garox ,14.0,132.0,66.0,63.0,0.0,0.0,0.0,2.0
564,שטיבאי ,6.0,48.0,43.0,4.0,0.0,0.0,0.0,0.0
565,שקם אלקטריק ,12.0,192.0,104.0,86.0,0.0,0.0,0.0,0.0
566,מוסרי ,10.0,333.0,302.0,26.0,0.0,0.0,0.0,0.0
567,טבע זול נטורלניק ,6.0,221.0,185.0,28.0,0.0,0.0,0.0,0.0
568,בלקו ,8.0,73.0,63.0,9.0,0.0,0.0,0.0,0.0
569,גיימינג דראגונס ,7.0,69.0,38.0,29.0,0.0,0.0,0.0,0.0
570,noknok מוצרים לבית עד הבית ,4.0,67.0,53.0,13.0,0.0,0.0,0.0,0.0
571,ספורטי ,13.0,66.0,57.0,8.0,0.0,0.0,0.0,0.0
572,bradex ,4.0,62.0,3.0,59.0,0.0,0.0,0.0,0.0
573,אלמוג טק ,5.0,58.0,42.0,15.0,0.0,0.0,0.0,0.0
574,עדשות ,16.0,54.0,50.0,4.0,0.0,0.0,0.0,0.0
575,TMS ,18.0,48.0,18.0,30.0,0.0,0.0,0.0,0.0
576,גאדג טשופ ,16.0,43.0,16.0,27.0,0.0,0.0,0.0,0.0
577,מאור דיל ,14.0,40.0,21.0,18.0,0.0,0.0,0.0,0.0
578,דור ליין ,10.0,36.0,19.0,17.0,0.0,0.0,0.0,0.0
579,פארם סטור ,8.0,36.0,27.0,9.0,0.0,0.0,0.0,0.0
580,כל הנוחות שבעולם ,11.0,28.0,4.0,24.0,0.0,0.0,0.0,0.0
581,גרפיטי ,6.0,18.0,6.0,11.0,0.0,0.0,0.0,0.0
582,גנים ורהיטים ,9.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0
583,רשת מיי פרפיום ,3.0,11.0,7.0,4.0,0.0,0.0,0.0,0.0
584,אייר פור יו ,8.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0
585,עופר כהן ,14.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
586,פאוזה ,13.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
587,ipool ,11.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
588,מקורטק ,10.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0
589,עץ מי ,3.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
590,ראמוס עיצובים ,3.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
591,SWISS BAG ,6.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
592,מינרל בר ,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
593,עולם המזוודות ,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
594,סבבה פופים ,6.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
595,m2 מחשבים ,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
596,סקרין מובייל ,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
597,דוקטור ספיי ,14.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
598,סעדון שופ ,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
599,קרמה פלוס ,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
600,אחים נייער ,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
601,מחסני מזון ,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
602,All In Home ,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
603,גב מדיק ,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
604,קליקדאנס ,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
605,גלילה ,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
606,מכולת לחיות מחמד ,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
607,לוטוס שופ ,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
608,מוסיקזול ,13.0,259.0,252.0,6.0,0.0,0.0,0.0,0.0
609,E Mor ,16.0,210.0,210.0,0.0,0.0,0.0,0.0,0.0
610,קולורס ,15.0,204.0,128.0,70.0,0.0,0.0,0.0,0.0
611,ג ונתן ,12.0,204.0,204.0,0.0,0.0,0.0,0.0,0.0
612,קונים עולם ,21.0,154.0,152.0,2.0,0.0,0.0,0.0,0.0
613,מיק מיק ,16.0,144.0,120.0,17.0,0.0,0.0,0.0,0.0
614,2click ,15.0,132.0,122.0,8.0,0.0,0.0,0.0,0.0
615,שופכל ישראל ,7.0,126.0,106.0,4.0,0.0,0.0,0.0,0.0
616,Projector co il ,17.0,108.0,79.0,2.0,0.0,0.0,0.0,0.0
617,G Tech ,20.0,107.0,81.0,25.0,0.0,0.0,0.0,0.0
618,אלקטרוסייל ,21.0,99.0,87.0,17.0,0.0,0.0,0.0,0.0
619,פלייסטון ,11.0,98.0,79.0,1.0,0.0,0.0,0.0,0.0
620,פישר אופניים חשמליים ,10.0,94.0,63.0,1.0,0.0,0.0,0.0,0.0
621,טיים ספוט ,17.0,91.0,65.0,15.0,0.0,0.0,0.0,0.0
622,בש גל ספורט ,13.0,91.0,73.0,3.0,0.0,0.0,0.0,0.0
623,בונדיגו ,14.0,87.0,68.0,8.0,0.0,0.0,0.0,0.0
624,הניצוץ ,17.0,83.0,69.0,20.0,0.0,0.0,0.0,0.0
625,בלו בלו שופ ,11.0,83.0,62.0,18.0,0.0,0.0,0.0,0.0
626,צעצוע לה ,7.0,73.0,63.0,0.0,0.0,0.0,0.0,0.0
627,אבי אייר מוצרי חשמל ,12.0,72.0,42.0,4.0,0.0,0.0,0.0,0.0
628,פיוז סטריאו ,16.0,70.0,50.0,1.0,0.0,0.0,0.0,0.0
629,קרייזי אדי ,20.0,64.0,58.0,1.0,0.0,0.0,0.0,0.0
630,באגסטור ,7.0,64.0,50.0,1.0,0.0,0.0,0.0,0.0
631,טרוניקס ,19.0,59.0,47.0,15.0,0.0,0.0,0.0,0.0
632,טוטאל ספורט ,16.0,58.0,53.0,8.0,0.0,0.0,0.0,0.0
633,אקוסרוויס ,16.0,58.0,37.0,0.0,0.0,0.0,0.0,0.0
634,Home360 ,16.0,56.0,52.0,6.0,0.0,0.0,0.0,0.0
635,ביג ספורט ,13.0,54.0,51.0,7.0,0.0,0.0,0.0,0.0
636,TST Israel ,7.0,53.0,47.0,0.0,0.0,0.0,0.0,0.0
637,זייפר ,9.0,52.0,43.0,15.0,0.0,0.0,0.0,0.0
638,אל איי פון ,6.0,52.0,49.0,0.0,0.0,0.0,0.0,0.0
