,Store Name,Age,Comments Count,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
73,CHIBOBO ,6.0,133.0,131.0,2.0,1.0,1.0,1.0,2.0
74,פסקל תוכנה ומחשבים ,16.0,132.0,100.0,30.0,0.0,0.0,0.0,3.0
75,טולס פור יו ,12.0,129.0,108.0,19.0,0.0,0.0,0.0,1.0
76,all4home ,11.0,128.0,121.0,4.0,0.0,1.0,4.0,11.0
77,טרטל ציוד הגברה ,14.0,126.0,126.0,0.0,0.0,0.0,0.0,3.0
78,אודיו קלאב ,18.0,122.0,120.0,2.0,1.0,2.0,3.0,4.0
79,שמרת מדיה ,18.0,121.0,101.0,18.0,0.0,0.0,3.0,3.0
80,בית הצילום ,19.0,120.0,118.0,2.0,0.0,1.0,1.0,2.0
81,רוניקס ניסן אלקטרוניקה ,13.0,120.0,108.0,11.0,0.0,0.0,2.0,8.0
82,שריון מחשבים ,16.0,119.0,68.0,46.0,1.0,2.0,3.0,3.0
83,מ נ מ הכל לתעשיה ,13.0,119.0,115.0,4.0,0.0,4.0,9.0,22.0
84,בראונפילד ,9.0,118.0,118.0,0.0,0.0,1.0,1.0,2.0
85,מחסני הסלולר ,4.0,117.0,102.0,15.0,6.0,6.0,6.0,7.0
86,סייל פי סי ,8.0,117.0,113.0,4.0,1.0,2.0,4.0,6.0
87,המכולה ,11.0,114.0,82.0,29.0,0.0,0.0,1.0,1.0
88,מדפסות פלוס ,10.0,114.0,113.0,0.0,3.0,14.0,15.0,26.0
89,מתי פרינט ,16.0,113.0,90.0,23.0,0.0,0.0,1.0,3.0
90,MNM Shop ,6.0,112.0,112.0,0.0,1.0,1.0,5.0,7.0
91,סולאר מרקט ,10.0,111.0,97.0,11.0,2.0,3.0,7.0,14.0
92,סלון אפי ,10.0,111.0,106.0,5.0,0.0,0.0,0.0,1.0
93,קופי4יו COFFEE4U ,9.0,107.0,96.0,10.0,0.0,1.0,1.0,3.0
94,A G סלולר ,9.0,106.0,100.0,5.0,0.0,2.0,3.0,8.0
95,mygan ,14.0,104.0,97.0,7.0,0.0,0.0,0.0,1.0
96,גרדן סייל ,11.0,104.0,86.0,16.0,1.0,1.0,1.0,3.0
97,הסיטונאי ,4.0,102.0,87.0,14.0,0.0,0.0,1.0,4.0
98,דיו אינק ,12.0,100.0,95.0,5.0,2.0,4.0,6.0,11.0
99,קודש נט בע מ ,9.0,100.0,100.0,0.0,0.0,0.0,1.0,1.0
100,קודאק ירכא ,15.0,98.0,61.0,35.0,1.0,1.0,1.0,1.0
101,אלוף הסלולאר ,4.0,98.0,86.0,12.0,2.0,4.0,6.0,17.0
102,A S T פתרונות ,5.0,97.0,97.0,0.0,1.0,3.0,8.0,22.0
103,סקיור גרופ ,10.0,95.0,89.0,6.0,1.0,4.0,6.0,10.0
104,התיקון הכללי ,6.0,95.0,87.0,7.0,1.0,1.0,3.0,5.0
105,קצת אחרת ציוד משרדי ,14.0,94.0,92.0,2.0,0.0,0.0,1.0,3.0
106,הידרומרקט ,7.0,93.0,92.0,1.0,0.0,0.0,1.0,3.0
107,buy the way ,14.0,89.0,76.0,13.0,0.0,0.0,0.0,1.0
108,Crossover ,11.0,89.0,88.0,1.0,0.0,3.0,4.0,6.0
109,טויס אנד מור ,19.0,89.0,60.0,28.0,1.0,4.0,6.0,10.0
110,רחובות HML ,13.0,86.0,84.0,2.0,4.0,18.0,25.0,50.0
111,דוקטור דיו ,13.0,86.0,79.0,7.0,0.0,2.0,2.0,7.0
112,רינג מובייל ,5.0,86.0,80.0,6.0,0.0,0.0,1.0,2.0
113,AY ריהוט ושינה ,16.0,85.0,70.0,15.0,1.0,1.0,1.0,2.0
114,כל פרפיום ,18.0,84.0,76.0,8.0,0.0,0.0,0.0,3.0
115,אקופארם ,3.0,80.0,77.0,0.0,0.0,0.0,0.0,4.0
116,גולדפארם ,10.0,79.0,76.0,3.0,0.0,1.0,1.0,5.0
117,ברזים ,14.0,76.0,59.0,17.0,0.0,0.0,0.0,2.0
118,אספקה מיידית ,10.0,75.0,67.0,8.0,0.0,0.0,0.0,4.0
119,סופר מדיקה ,3.0,75.0,75.0,0.0,1.0,3.0,5.0,14.0
120,דיגיטל סנטר ,7.0,73.0,49.0,24.0,0.0,2.0,3.0,9.0
121,מי גל מטהרי מים ,15.0,72.0,69.0,3.0,0.0,0.0,2.0,2.0
122,טיים טו באי ,17.0,70.0,56.0,14.0,0.0,0.0,1.0,2.0
123,הראשון לבניין ,6.0,69.0,52.0,17.0,0.0,0.0,0.0,1.0
124,קינג פי סי ,13.0,68.0,55.0,12.0,0.0,0.0,3.0,4.0
125,טונר פלוס בע מ ,2.0,68.0,68.0,0.0,4.0,10.0,14.0,25.0
126,ביי סנטר ,18.0,67.0,67.0,0.0,0.0,1.0,1.0,1.0
127,toys to go ,13.0,65.0,59.0,6.0,0.0,2.0,4.0,5.0
