,Store Name,Age,Comments Count,average rate,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
100,קודאק ירכא ,15,98,5.0,61,35,1,1,1,1
101,אלוף הסלולאר ,4,98,5.0,86,12,2,4,6,17
102,A S T פתרונות ,5,97,5.0,97,0,1,3,8,22
103,סקיור גרופ ,10,95,5.0,89,6,1,4,6,10
104,התיקון הכללי ,6,95,5.0,87,7,1,1,3,5
105,קצת אחרת ציוד משרדי ,14,94,5.0,92,2,0,0,1,3
106,הידרומרקט ,7,93,5.0,92,1,0,0,1,3
107,buy the way ,14,89,5.0,76,13,0,0,0,1
108,Crossover ,11,89,5.0,88,1,0,3,4,6
109,טויס אנד מור ,19,89,5.0,60,28,1,4,6,10
110,רחובות HML ,13,86,5.0,84,2,4,18,25,50
111,דוקטור דיו ,13,86,5.0,79,7,0,2,2,7
112,רינג מובייל ,5,86,5.0,80,6,0,0,1,2
113,AY ריהוט ושינה ,16,85,5.0,70,15,1,1,1,2
114,כל פרפיום ,18,84,5.0,76,8,0,0,0,3
115,אקופארם ,3,80,5.0,77,0,0,0,0,4
116,גולדפארם ,10,79,5.0,76,3,0,1,1,5
117,ברזים ,14,76,5.0,59,17,0,0,0,2
118,אספקה מיידית ,10,75,5.0,67,8,0,0,0,4
119,סופר מדיקה ,3,75,5.0,75,0,1,3,5,14
120,דיגיטל סנטר ,7,73,5.0,49,24,0,2,3,9
121,מי גל מטהרי מים ,15,72,5.0,69,3,0,0,2,2
122,טיים טו באי ,17,70,5.0,56,14,0,0,1,2
123,הראשון לבניין ,6,69,5.0,52,17,0,0,0,1
124,קינג פי סי ,13,68,5.0,55,12,0,0,3,4
125,טונר פלוס בע מ ,2,68,5.0,68,0,4,10,14,25
126,ביי סנטר ,18,67,5.0,67,0,0,1,1,1
127,toys to go ,13,65,5.0,59,6,0,2,4,5
128,מיי דיגיטל ,13,63,5.0,55,7,0,2,5,10
129,א א סיגמה ,9,63,5.0,60,3,0,1,1,4
130,ACDC ,18,62,5.0,57,5,0,0,0,1
131,ספורטקום ,11,62,5.0,60,1,0,1,1,9
132,לנס ,19,60,5.0,58,2,1,2,2,2
133,פופיק ,5,60,5.0,59,0,0,1,2,8
134,מדיקון ,11,59,5.0,40,19,0,0,0,3
135,מולטי סטור ,2,58,5.0,58,0,0,6,12,39
136,קמפ דויד ישראל ,11,57,5.0,48,9,0,1,1,6
137,גאמבי ישראל ,19,56,5.0,43,11,0,1,1,2
138,D S A מערכות ,14,56,5.0,48,8,0,1,1,1
139,ארדי מוצרי צריכה ,7,56,5.0,53,2,0,1,1,2
140,אאורקה מוצרים ,8,55,5.0,55,0,0,0,1,1
141,מובייל סולושנס ,6,55,5.0,50,4,0,0,0,8
142,קפיץ קפוץ ,5,55,5.0,55,0,0,2,4,9
143,Virus PC Store ,2,54,5.0,54,0,4,11,20,49
144,camera2pic ,10,53,5.0,53,0,1,3,3,3
145,ORCA SHOP ,8,50,5.0,50,0,3,3,5,6
146,הצב ,13,49,5.0,48,1,0,0,0,1
147,או אם סי מחשבים ,8,49,5.0,46,3,0,0,3,8
148,קור לייט ,11,48,5.0,40,8,0,0,0,2
149,במבינו ,7,48,5.0,48,0,1,2,4,4
150,פרפיום קום ,11,45,5.0,43,2,1,1,1,1
151,וולט סטריט ,3,45,5.0,45,0,1,6,11,26
152,KBS ,11,44,5.0,23,19,0,0,0,1
153,קילומבו kilombo ,18,43,5.0,39,4,1,10,12,23
154,אלקטריק פלוס ,6,43,5.0,42,1,0,0,1,2
155,יוסי תכשיטים ,18,42,5.0,41,1,0,0,0,1
156,abshop ,12,42,5.0,41,0,0,0,1,3
157,דיוטיקום ,9,42,5.0,37,5,0,0,1,1
158,המרכז הישראלי למיגון ,8,41,5.0,40,1,1,3,6,16
159,וורלדשופ ,11,39,5.0,32,7,0,1,1,1
160,פילטר אאוטלט ,7,39,5.0,32,6,0,1,2,10
161,אקסטיישן ,14,38,5.0,37,1,0,0,0,4
162,אלטר מזוודות ותיקים ,14,38,5.0,37,1,0,0,0,2
163,מובייל סטייל אונו ,4,38,5.0,37,1,0,3,4,4
164,Max Pro ,3,37,5.0,37,0,0,0,0,1
165,קרן אלקטרוניקה ,17,36,5.0,35,0,1,1,1,1
166,מרכז הגבס ,10,36,5.0,32,4,0,0,0,2
