,Store Name,Age,Comments Count,average rate,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
419,אייפרו ,11,17,4.53,15,2,0,0,4,15
420,גאדג ט מובייל ,13,773,4.52,600,163,0,2,5,29
421,גאדג ט מובייל ,13,773,4.52,600,163,0,2,5,29
422,גרף פי סי ,15,336,4.52,277,54,3,6,9,18
423,מובייל לנד ,8,1215,4.51,991,211,15,41,78,164
424,1PC ,16,1085,4.5,955,125,12,40,57,72
425,פון טק ,9,335,4.5,302,33,9,42,72,132
426,עולם המוזיקה ,15,179,4.5,168,10,0,1,3,7
427,Bath line ,9,145,4.5,139,5,0,0,2,7
428,ראנר מערכות ,2,9,4.5,9,0,0,0,0,2
429,אי ליין ,20,3273,4.49,2634,602,10,34,37,63
430,אי ליין ,20,3273,4.49,2634,602,10,34,37,63
431,בראנד אספקה טכנית ,9,592,4.49,556,32,4,17,28,79
432,גלדיאטור ,4,331,4.49,313,18,0,18,38,91
433,דיופיקס ,9,2209,4.47,1949,246,20,74,131,272
434,עולם הכלים ,6,64,4.47,59,3,0,0,0,13
435,ספורט סנטר ,15,305,4.46,261,42,0,0,2,45
436,אייבורי ,17,2035,4.44,1874,148,2,6,9,75
437,שניידר ,17,1362,4.43,1236,117,4,5,9,12
438,סולן ,20,266,4.43,233,29,0,0,0,6
439,עמיטל ,13,251,4.43,242,8,0,4,4,6
440,18comp ,12,131,4.43,115,16,2,2,5,6
441,קמחי כלי עבודה ,7,1142,4.42,1014,108,7,30,61,101
442,דיל אונליין ,5,502,4.42,427,73,14,37,58,132
443,סייל פרייס ,8,336,4.42,273,60,2,17,23,45
444,פסגת החשמל ,14,146,4.41,131,14,0,3,17,35
445,הלב ץ ברוך בע מ ,7,230,4.4,213,12,2,3,3,8
446,המרכז הארצי למכונות קפה ,12,37,4.4,28,9,0,0,1,4
447,פירסט פרייס ,14,181,4.38,137,42,0,4,15,27
448,אלקטרו כהן ,16,384,4.37,336,43,1,2,6,16
449,Sim Free ,11,1175,4.36,959,209,2,17,51,74
450,קייט פון ,8,143,4.36,122,20,0,2,7,18
451,חינם פלוס ,13,224,4.35,170,53,1,6,16,22
452,נייט נט ,14,739,4.33,715,21,0,0,2,5
453,ארליך ,15,538,4.33,477,57,0,3,3,10
454,גוד טיים ,13,253,4.33,217,34,0,2,3,10
455,מרכז הסאונד ,13,244,4.33,210,31,0,3,3,5
456,אוסקר בעמ ,18,76,4.33,65,10,0,1,3,5
457,מחסני השרון ,6,64,4.33,57,7,2,2,3,5
458,אוניקס בוקס בישראל ,3,34,4.33,29,5,1,2,2,10
459,מחסני דיו ,12,1199,4.31,971,225,5,31,41,72
460,המבורגר ברוס ,12,349,4.29,288,61,2,16,33,42
461,היבואן ,14,284,4.27,233,49,2,4,5,9
462,קול פול CoolPool ,11,100,4.27,91,9,0,0,1,9
463,י ש מ ,5,84,4.27,76,7,1,4,4,9
464,סופר אלקטריק ,13,256,4.26,206,48,2,9,13,25
465,טקטויז ,20,231,4.25,176,55,1,4,7,7
466,קאמרה פלוס ,14,55,4.25,46,9,2,2,2,3
467,בייביס הום ,11,47,4.25,43,4,1,2,3,3
468,מבט אלקטריק ,18,383,4.24,295,83,4,22,38,61
469,BuyElectric ,13,346,4.23,295,48,1,4,10,21
470,azrieli com ,15,2536,4.22,1839,648,10,47,103,233
471,סמייל פון ,12,252,4.2,203,46,4,4,4,4
472,ספיד מחשבים ,20,244,4.2,185,55,1,5,8,8
473,אלי כהן חשמל ,6,101,4.2,63,36,0,0,1,4
474,בית הפקס ,19,70,4.2,59,10,1,2,3,4
475,הידברות שופס ,4,70,4.2,58,12,1,5,10,12
476,מכובד ,6,60,4.2,59,1,1,1,2,4
477,אלמגור ,13,54,4.2,29,25,0,0,0,4
478,Sleeperz ,8,43,4.2,37,6,0,1,1,4
479,נייד נייד ,15,1371,4.18,1108,258,3,22,39,58
480,וולקום מחשבים ,16,452,4.17,377,71,3,6,12,18
481,Best Cell Celular ,7,899,4.16,703,186,2,8,14,63
482,PlaySmart ,3,33,4.16,29,4,1,6,9,15
483,צור מרקט ,6,189,4.14,169,17,1,2,4,17
484,נקסטק ,9,491,4.11,418,68,1,5,15,40
485,מדי פארם ,11,153,4.11,105,43,7,14,14,14
486,זוהר אלקטרוניקה ,12,117,4.11,94,22,2,2,4,7
487,קליק טוי ,7,166,4.09,97,69,4,19,46,64
488,סליפ נט ,18,207,4.08,189,16,1,3,6,10
489,eBath ,11,165,4.0,124,41,0,2,6,11
490,העיקר הבריאות ,14,97,4.0,86,11,0,2,2,3
491,דור ספורט ,15,96,4.0,63,31,1,2,2,3
492,סופר לנג ,10,93,4.0,86,6,0,0,0,1
493,אודם קוסמטיקה ,3,77,4.0,68,9,0,2,2,2
494,סי אלקטריק ,18,55,4.0,46,8,0,1,3,3
495,WowBuy ,2,20,4.0,18,2,1,2,4,6
496,נופטק מחשבים ,1,8,4.0,6,2,0,0,1,6
497,פיטבנדר ,2,4,4.0,3,1,0,0,1,3
498,צ יינה פון ,1,4,4.0,3,1,0,0,1,3
499,טאקס פרי ביוטי ,3,1,4.0,1,0,0,1,1,1
500,בסט אלקטריק ,19,531,3.98,372,155,1,6,34,61
501,דינמיקה ,14,426,3.98,283,140,0,3,7,32
502,אולסייל ,15,2394,3.9699999999999998,1904,467,4,14,33,76
503,לאסטפרייס ,20,5293,3.95,4502,739,4,19,56,203
504,גאדג ט טים ,10,286,3.94,250,33,0,0,2,39
505,על גלגלים ,17,170,3.94,134,34,2,11,12,12
506,אינסייל Insale ,7,216,3.92,162,52,1,1,2,9
507,ביג דיל ,15,53,3.91,39,12,0,0,1,8
508,טרקלין חשמל ,14,590,3.88,454,134,0,1,1,18
509,דיילי סייל ,21,2227,3.86,1814,395,14,38,62,115
510,אודיו טק ,16,49,3.86,45,4,1,1,3,5
511,היבואנים ,1,78,3.85,56,22,2,9,22,56
512,1P1 ,1,13,3.85,9,4,0,0,2,9
513,מ מ ש ר אספקה טכנית בע מ ,8,618,3.82,553,60,1,3,9,15
514,באג ,19,353,3.82,204,139,2,16,30,53
515,אי זון ,15,398,3.81,287,104,1,6,13,22
516,CoffeeMan ,18,543,3.8,383,138,12,28,52,96
517,לובלינר ,18,214,3.8,144,67,1,3,7,7
518,יוגנד פוטו וידאו ,14,26,3.8,24,1,0,0,2,3
519,SO Stock Online ,5,124,3.69,89,33,3,12,17,22
520,וואלה שופס ,21,3128,3.68,2017,1065,3,29,88,166
521,וואלה שופס ,21,3128,3.68,2017,1065,3,29,88,166
522,איי ניד דיו ,15,165,3.67,100,64,2,4,4,6
523,חסון Online ,7,97,3.67,83,14,0,0,0,2
524,אגם המים ,7,28,3.67,20,8,0,0,0,2
525,פלד סקיוריטי ,13,24,3.67,18,6,0,0,1,2
526,ישראלי ,7,17,3.67,9,8,0,0,4,4
527,M אלקטריק ,2,79,3.6,52,27,0,0,0,31
528,עצמל ה ,20,124,3.59,65,59,0,1,7,21
529,3In100 ,6,93,3.5,87,6,0,0,1,1
530,בננה שופס ,4,43,3.46,28,15,0,0,2,8
531,פטיש ומסמר ,6,80,3.43,47,31,1,2,3,4
532,KOSKO ,18,217,3.4,207,10,0,0,1,3
533,Gadgets More ,7,257,3.2,220,37,0,1,2,8
534,XiStore ,5,265,3.08,183,81,0,5,10,18
535,ענק הקניות ,9,481,3.03,329,147,2,9,14,50
536,HomeLet ,9,1006,3.0,920,74,0,0,0,1
537,סברס ,7,284,3.0,273,10,0,0,0,2
538,גאדגט ליין ,13,129,3.0,61,65,0,1,1,4
539,Wi Wi וואי וואי ,9,100,3.0,94,5,0,1,1,2
540,דוקטור טונר ,5,44,3.0,29,15,0,2,2,4
541,טי די אס די ,7,41,3.0,27,13,0,0,0,4
542,פט פלנט ,18,37,3.0,31,5,0,0,0,1
543,רשת הגרעין ,6,33,3.0,19,13,0,0,0,1
544,פרפיום אקס ,5,29,3.0,19,10,0,0,0,2
545,Sea Pro ,9,21,3.0,15,6,0,0,0,1
546,מחיר טוב ,10,19,3.0,9,10,0,0,0,1
547,WeStock ,3,14,3.0,13,1,0,0,1,1
548,אוריאור ,7,11,3.0,7,4,0,0,1,1
549,אלוף הכלים ,1,10,3.0,5,5,0,1,4,5
550,ויטרסה ,2,6,3.0,3,3,1,1,1,3
551,תכלת מרדכי ,3,5,3.0,4,1,0,0,1,1
552,בידן פלסתום ,8,4,3.0,2,2,0,0,0,1
553,אוריאל מערכות ,1,2,3.0,1,1,1,1,1,1
554,עזורי ,14,1017,2.9699999999999998,808,190,0,7,10,17
555,הממלכה הקטנה ,7,107,2.91,91,16,0,0,1,5
556,גלאור אונליין ,3,24,2.5,6,18,1,1,6,6
557,לחבר שלי ,11,11,2.5,4,6,0,0,0,1
558,מחסני חשמל ,7,2551,2.42,1929,601,0,0,0,36
559,מחסני חשמל ,7,2551,2.42,1929,601,0,0,0,36
560,אבי סופר ,3,36,2.38,10,26,1,2,2,4
561,Bath Plus ,7,25,2.33,22,3,0,1,1,1
562,eLight ,4,8,2.33,4,4,0,0,0,1
563,בסט BEST ,14,474,2.14,201,269,7,20,33,63
564,אילת דיפו ,5,43,2.0,30,10,0,0,0,0
565,עולם ההגנה ,1,1,2.0,0,1,0,0,0,0
566,שופרסל Online ,5,219,1.79,32,182,0,0,1,5
567,ג מבו מול ,2,11,1.78,4,7,0,0,0,2
568,garox ,14,132,1.5,66,63,0,0,0,2
569,שטיבאי ,6,48,1.5,43,4,0,0,0,0
570,שקם אלקטריק ,12,192,1.1400000000000001,104,86,0,0,0,0
571,מוסרי ,10,333,1.0,302,26,0,0,0,0
572,טבע זול נטורלניק ,6,221,1.0,185,28,0,0,0,0
573,בלקו ,8,73,1.0,63,9,0,0,0,0
574,גיימינג דראגונס ,7,69,1.0,38,29,0,0,0,0
575,noknok מוצרים לבית עד הבית ,4,67,1.0,53,13,0,0,0,0
576,ספורטי ,13,66,1.0,57,8,0,0,0,0
577,bradex ,4,62,1.0,3,59,0,0,0,0
578,אלמוג טק ,5,58,1.0,42,15,0,0,0,0
579,עדשות ,16,54,1.0,50,4,0,0,0,0
580,TMS ,18,48,1.0,18,30,0,0,0,0
581,גאדג טשופ ,16,43,1.0,16,27,0,0,0,0
582,מאור דיל ,14,40,1.0,21,18,0,0,0,0
583,דור ליין ,10,36,1.0,19,17,0,0,0,0
584,פארם סטור ,8,36,1.0,27,9,0,0,0,0
585,כל הנוחות שבעולם ,11,28,1.0,4,24,0,0,0,0
586,גרפיטי ,6,18,1.0,6,11,0,0,0,0
587,גנים ורהיטים ,9,12,1.0,6,6,0,0,0,0
588,רשת מיי פרפיום ,3,11,1.0,7,4,0,0,0,0
589,אייר פור יו ,8,9,1.0,5,4,0,0,0,0
590,עופר כהן ,14,6,1.0,0,6,0,0,0,0
591,פאוזה ,13,6,1.0,0,6,0,0,0,0
592,ipool ,11,6,1.0,0,6,0,0,0,0
593,מקורטק ,10,6,1.0,4,2,0,0,0,0
594,עץ מי ,3,6,1.0,0,6,0,0,0,0
595,ראמוס עיצובים ,3,6,1.0,0,6,0,0,0,0
596,SWISS BAG ,6,4,1.0,0,4,0,0,0,0
597,מינרל בר ,5,4,1.0,0,4,0,0,0,0
598,עולם המזוודות ,4,3,1.0,0,3,0,0,0,0
599,סבבה פופים ,6,3,1.0,1,2,0,0,0,0
600,m2 מחשבים ,4,3,1.0,2,1,0,0,0,0
601,סקרין מובייל ,2,3,1.0,1,2,0,0,0,0
602,דוקטור ספיי ,14,2,1.0,1,1,0,0,0,0
603,סעדון שופ ,11,2,1.0,0,2,0,0,0,0
604,קרמה פלוס ,9,2,1.0,0,2,0,0,0,0
605,אחים נייער ,4,2,1.0,0,2,0,0,0,0
606,מחסני מזון ,11,1,1.0,0,1,0,0,0,0
607,All In Home ,5,1,1.0,0,1,0,0,0,0
608,גב מדיק ,4,1,1.0,0,1,0,0,0,0
609,קליקדאנס ,4,1,1.0,0,1,0,0,0,0
610,גלילה ,3,1,1.0,0,1,0,0,0,0
611,מכולת לחיות מחמד ,2,1,1.0,0,1,0,0,0,0
612,לוטוס שופ ,2,1,1.0,0,1,0,0,0,0
613,מוסיקזול ,13,259,,252,6,0,0,0,0
614,E Mor ,16,210,,210,0,0,0,0,0
615,קולורס ,15,204,,128,70,0,0,0,0
616,ג ונתן ,12,204,,204,0,0,0,0,0
617,קונים עולם ,21,154,,152,2,0,0,0,0
618,גלאס פון ,8,150,,127,,,,,
619,מיק מיק ,16,144,,120,17,0,0,0,0
620,2click ,15,132,,122,8,0,0,0,0
621,שופכל ישראל ,7,126,,106,4,0,0,0,0
622,Projector co il ,17,108,,79,2,0,0,0,0
623,G Tech ,20,107,,81,25,0,0,0,0
624,תן לחיות ,9,104,,97,,,,,
625,קאמרה אילת ,21,103,,92,,,,,
626,אריה קרול ,5,100,,76,,,,,
627,אלקטרוסייל ,21,99,,87,17,0,0,0,0
628,פלייסטון ,11,98,,79,1,0,0,0,0
629,פישר אופניים חשמליים ,10,94,,63,1,0,0,0,0
630,טיים ספוט ,17,91,,65,15,0,0,0,0
631,בש גל ספורט ,13,91,,73,3,0,0,0,0
632,בונדיגו ,14,87,,68,8,0,0,0,0
633,הניצוץ ,17,83,,69,20,0,0,0,0
634,בלו בלו שופ ,11,83,,62,18,0,0,0,0
635,צעצוע לה ,7,73,,63,0,0,0,0,0
636,אבי אייר מוצרי חשמל ,12,72,,42,4,0,0,0,0
637,פיוז סטריאו ,16,70,,50,1,0,0,0,0
638,קרייזי אדי ,20,64,,58,1,0,0,0,0
639,באגסטור ,7,64,,50,1,0,0,0,0
640,טרוניקס ,19,59,,47,15,0,0,0,0
641,טוטאל ספורט ,16,58,,53,8,0,0,0,0
642,אקוסרוויס ,16,58,,37,0,0,0,0,0
643,Home360 ,16,56,,52,6,0,0,0,0
644,ביג ספורט ,13,54,,51,7,0,0,0,0
645,TST Israel ,7,53,,47,0,0,0,0,0
646,זייפר ,9,52,,43,15,0,0,0,0
647,אל איי פון ,6,52,,49,0,0,0,0,0
648,טי וי פור יו ,14,51,,46,0,0,0,0,0
649,אלסקה אייר ,11,50,,48,3,0,0,0,0
650,מובייל סיטי ,12,50,,46,6,0,0,0,0
651,מוטוריקס בייק ,10,49,,42,0,0,0,0,0
652,טייר קלאב ,8,49,,23,2,0,0,0,0
653,לבמה ,4,48,,36,0,0,0,0,0
654,סכינים למבינים ,12,47,,26,1,0,0,0,0
655,תיק פור יו ,12,46,,38,3,0,0,0,0
656,אתר החי של ישראל ,10,43,,27,18,0,0,0,0
657,בג ובה ,10,42,,36,3,0,0,0,0
658,יהלום ,17,39,,34,13,0,0,0,0
659,ארגמן חוויה בגן ,8,39,,29,1,0,0,0,0
660,צעצועים וגלגלים ,17,38,,32,9,0,0,0,0
661,אסקול ,5,37,,28,1,0,0,0,0
662,אפ פון ,9,36,,29,2,0,0,0,0
663,קדמה קפה ,16,36,,28,6,0,0,0,0
664,גלילון ,9,34,,29,2,0,0,0,0
665,בנדה קוסמטיקס ,7,32,,28,4,0,0,0,0
666,די סי טק ,13,31,,26,2,0,0,0,0
667,הידרו סיסטמס ,11,31,,24,3,0,0,0,0
668,ספורה ,13,30,,24,1,0,0,0,0
669,סטריאו שופ ,16,29,,21,1,0,0,0,0
670,סמבירא 1954 ,13,28,,25,2,0,0,0,0
671,רונבי ,18,26,,23,2,0,0,0,0
672,קפה לנדוור ,10,26,,25,2,0,0,0,0
673,kollbox הכל לבית עד הבית ,3,26,,23,5,0,0,0,0
674,מטרומדיה ,20,25,,23,0,0,0,0,0
675,אול פרודקט ,8,25,,23,2,0,0,0,0
676,אקווהלינק ,8,25,,3,0,0,0,0,0
677,נט פרינט ,17,24,,21,1,0,0,0,0
678,אקו ריהוט ,12,24,,20,1,0,0,0,0
679,hdsale ,11,24,,20,1,0,0,0,0
680,מסטרפרייס ,9,23,,20,19,0,0,0,0
681,ספורט אדיר ,8,22,,12,1,0,0,0,0
682,פיצ פקעס ,13,21,,18,1,0,0,0,0
683,הכל כאן ,9,21,,17,1,0,0,0,0
684,תכשיטי שילת ,7,21,,18,1,0,0,0,0
685,המקום של חני ,14,20,,19,7,0,0,0,0
686,מרכז הצעצועים ,8,20,,12,2,0,0,0,0
687,סמארט טק ,5,20,,17,3,0,0,0,0
688,מדפסות ועוד ,19,19,,17,1,0,0,0,0
689,ProSafety ,6,19,,12,0,0,0,0,0
690,Bzr Trade ,8,18,,14,6,0,0,0,0
691,דיימונד פקטורי ,23,17,,12,0,0,0,0,0
692,חן אופן ,12,17,,14,0,0,0,0,0
693,אופיס סטייל ,12,17,,12,5,0,0,0,0
694,וי קר V Care ,7,17,,14,3,0,0,0,0
695,אופנוסנטר ,15,16,,12,4,0,0,0,0
696,החתול והכלב ,13,16,,14,1,0,0,0,0
697,קוסמוס ,19,15,,12,2,0,0,0,0
698,עולם של כלבים ,10,15,,14,1,0,0,0,0
699,מאני תקשורת ,8,15,,15,3,0,0,0,0
700,ביליג ,9,15,,14,0,0,0,0,0
701,ס מדיק ,8,15,,7,3,0,0,0,0
702,טי סי אס תבונה ,7,15,,1,1,0,0,0,0
703,סמארט טויס ,6,15,,10,0,0,0,0,0
704,א שופ ,17,14,,13,0,0,0,0,0
705,ווטרפיור ,16,14,,11,6,0,0,0,0
706,מים פור יו ,17,13,,9,12,0,0,0,0
707,בן החיות ,15,13,,0,2,0,0,0,0
708,HD Toner ,12,13,,2,0,0,0,0,0
709,hd1 ,11,13,,11,2,0,0,0,0
710,עידן הקרמיקה ,11,13,,9,4,0,0,0,0
711,צלול טיהור וסינון מים ,17,12,,9,12,0,0,0,0
712,עולם המים ,16,12,,11,10,0,0,0,0
713,הום גארד ,9,12,,6,1,0,0,0,0
714,אופני איתי ,9,12,,6,3,0,0,0,0
715,לפטופ אנרג י ,7,12,,7,2,0,0,0,0
716,ZE ZE ,6,12,,5,0,0,0,0,0
717,ס כחילה ,18,12,,8,6,0,0,0,0
718,רם קרינסקי סוכנויות ,20,11,,10,5,0,0,0,0
719,פניקה רהיטים ,13,10,,6,3,0,0,0,0
720,Booom ,12,10,,4,5,0,0,0,0
721,אור לי תעשיות עץ ,10,10,,9,2,0,0,0,0
722,MD Energy ,7,10,,8,0,0,0,0,0
723,מדיה גיים ,19,9,,9,3,0,0,0,0
724,קופי אקספרס ,13,9,,6,5,0,0,0,0
725,קואלה פתרונות מיחזור ,9,9,,9,0,0,0,0,0
726,קוסמטיקל ,9,9,,7,1,0,0,0,0
727,סקס פלאנט ,7,9,,8,0,0,0,0,0
728,המעבדה ,6,9,,7,2,0,0,0,0
729,יויו דיגיטל ,4,9,,3,0,0,0,0,0
730,יודאיקה סיטי ,11,8,,7,1,0,0,0,0
731,שרון רייכטר ,10,8,,8,0,0,0,0,0
732,לבמוטורס ,7,8,,0,1,0,0,0,0
733,לפטופ רחובות ,7,8,,0,5,0,0,0,0
734,טבע כל ,7,8,,7,1,0,0,0,0
735,WebPrice ,5,8,,4,0,0,0,0,0
736,IRobot ,14,7,,7,6,0,0,0,0
737,LaptopOutlet ,8,7,,7,7,0,0,0,0
738,עגלולים ,10,7,,7,0,0,0,0,0
739,בי אם ישראל ,7,7,,6,3,0,0,0,0
740,Baden Israel ,5,7,,6,0,0,0,0,0
741,פאנל כחול לבן ,3,7,,5,0,0,0,0,0
742,Top Luggage ,9,7,,5,0,0,0,0,0
743,מחסני הנעלה מותגים ,,7,,5,1,0,0,0,0
744,הכללשיער ,11,7,,5,1,0,0,0,0
745,North Point ,4,7,,5,1,0,0,0,0
746,Print N go ,3,7,,3,2,0,0,0,0
747,צ יפר ,19,6,,3,1,0,0,0,0
748,ברנינה שופס ,17,6,,4,1,0,0,0,0
749,מיי דיגיטלס ,13,6,,3,1,0,0,0,0
750,אופיס אינק ,10,6,,0,3,0,0,0,0
751,all karcher ,9,6,,5,3,0,0,0,0
752,אקווה בלו ,8,6,,2,2,0,0,0,0
753,פרגולנדשופ ,7,6,,3,3,0,0,0,0
754,קיטשן מרקט ,6,6,,3,6,0,0,0,0
755,corona safe ,3,6,,5,1,0,0,0,0
756,מ ט ר ,15,5,,2,2,0,0,0,0
757,מרכז התפירה ,15,5,,4,1,0,0,0,0
758,רב חבל מתקני כביסה ,12,5,,5,1,0,0,0,0
759,אהבה ותשוקה ,11,5,,5,0,0,0,0,0
760,משכן התכלת ,7,5,,5,3,0,0,0,0
761,רביד קוסמטיקס ,7,5,,3,1,0,0,0,0
762,WatchStore Co Il ,7,5,,2,0,0,0,0,0
763,אבונפחא ,2,5,,4,0,0,0,0,0
764,סופרליין ,2,5,,1,0,0,0,0,0
765,WineBar ,18,4,,4,1,0,0,0,0
766,אלטיים אורלוגין ,15,4,,2,2,0,0,0,0
767,בי סייפטי ,13,4,,4,0,0,0,0,0
768,Scoot קורקינטים ,11,4,,2,3,0,0,0,0
769,WaterFun ,11,4,,4,0,0,0,0,0
770,דיגי דיגי ,13,4,,3,2,0,0,0,0
771,סמארט גרף ,9,4,,4,0,0,0,0,0
772,החוויה היבואן ,9,4,,3,1,0,0,0,0
773,אלכס מערכות קולנוע ,8,4,,1,0,0,0,0,0
774,מרכז המוצרים ,8,4,,4,1,0,0,0,0
775,פלאשופ ,2,4,,4,0,0,0,0,0
776,רוית בר און ,7,4,,3,1,0,0,0,0
777,ריפלס ,5,4,,3,3,0,0,0,0
778,גלי אקספרס ,5,4,,3,0,0,0,0,0
779,מרכז הסטנדר ,4,4,,0,0,0,0,0,0
780,Fun Sex ,4,4,,0,1,0,0,0,0
781,פיוצ ר אודיו וידאו ,13,3,,3,0,0,0,0,0
782,עם האדמה ,12,3,,1,0,0,0,0,0
783,SportGear ,11,3,,3,3,0,0,0,0
784,אלקטרוגז ,7,3,,1,3,0,0,0,0
785,אייר קור ,9,3,,3,0,0,0,0,0
786,פנצ ריית דורון לדרך ,8,3,,3,0,0,0,0,0
787,אותנטי ,8,3,,3,0,0,0,0,0
788,Bpatent ,7,3,,3,2,0,0,0,0
789,Tech 10 ,7,3,,1,0,0,0,0,0
790,Body HD ,7,3,,3,0,0,0,0,0
791,Lex System ,6,3,,0,0,0,0,0,0
792,סיגר קלאב ,6,3,,2,0,0,0,0,0
793,ארנקי עמנואל ,5,3,,0,2,0,0,0,0
794,Deals4All ,5,3,,2,0,0,0,0,0
795,עודד אלקטרוניקה ,5,3,,2,3,0,0,0,0
796,טבע החיים ,4,3,,1,1,0,0,0,0
797,הום טכני ,4,3,,2,3,0,0,0,0
798,מכניק ,18,2,,1,0,0,0,0,0
799,מחקר ,18,2,,2,0,0,0,0,0
800,gagon ,8,2,,2,1,0,0,0,0
801,קוסמוטרייד ,13,2,,1,0,0,0,0,0
802,אול סטאר ,12,2,,0,1,0,0,0,0
803,פרוטק סטור ,12,2,,1,0,0,0,0,0
804,רודי ,11,2,,2,0,0,0,0,0
805,גרין האוס ,11,2,,2,0,0,0,0,0
806,קופר ,9,2,,2,2,0,0,0,0
807,לייזר אמג ין ,9,2,,2,1,0,0,0,0
808,טאגור סנטר ,8,2,,2,0,0,0,0,0
809,אחראי מצברים ,8,2,,1,0,0,0,0,0
810,זיו בריכות שחיה ,7,2,,1,0,0,0,0,0
811,פלמט ,7,2,,2,0,0,0,0,0
812,רביב אלקטריק ,6,2,,2,0,0,0,0,0
813,אודיו וידאו קונקשן ,6,2,,2,1,0,0,0,0
814,למבוגר ,6,2,,0,1,0,0,0,0
815,EShower ,5,2,,0,0,0,0,0,0
816,סיטיראנר ,4,2,,2,0,0,0,0,0
817,MusicMart ,4,2,,2,0,0,0,0,0
818,יופילי ,4,2,,0,2,0,0,0,0
819,מכנומיקס ,3,2,,1,2,0,0,0,0
820,XGaming ,2,2,,1,0,0,0,0,0
821,דניאל בייבי ,1,2,,0,0,0,0,0,0
822,מאיר המהיר ,5,1,,1,1,0,0,0,0
823,זד בי אם ,16,1,,0,0,0,0,0,0
824,תפירה ,16,1,,1,0,0,0,0,0
825,שזם ,15,1,,1,1,0,0,0,0
826,לנדרסשופ ,13,1,,1,0,0,0,0,0
827,סורין אלקטרוניקה ,12,1,,0,1,0,0,0,0
828,לאקן ,12,1,,1,0,0,0,0,0
829,ברגהוף ,10,1,,1,0,0,0,0,0
830,טויז4פאן ,11,1,,0,0,0,0,0,0
831,justsport ,3,1,,0,1,0,0,0,0
832,מתניה ,11,1,,0,0,0,0,0,0
833,סוכות הדר ,10,1,,1,0,0,0,0,0
834,וילנצי ק ובניו ,10,1,,0,1,0,0,0,0
835,פילטרז ,9,1,,1,1,0,0,0,0
836,Swingfans ,8,1,,1,1,0,0,0,0
837,JOOL ME ,8,1,,1,0,0,0,0,0
838,סלולר FIX ,5,1,,0,1,0,0,0,0
839,ווינקיפר ,7,1,,1,0,0,0,0,0
840,וואט 1 ,7,1,,1,0,0,0,0,0
841,דיזיין רהיטי מעצבים ,8,1,,1,0,0,0,0,0
842,טרה פרינט ,9,1,,1,1,0,0,0,0
843,בסט בייק סנטר ,6,1,,1,0,0,0,0,0
844,מטרה משרדית ,2,1,,1,0,0,0,0,0
845,רלקס מרקט ,6,1,,1,0,0,0,0,0
846,כספות מגן ישראל ,6,1,,1,0,0,0,0,0
847,שרות לחלון ,6,1,,1,0,0,0,0,0
848,Hobbix ,6,1,,1,0,0,0,0,0
849,צמיגי המוביל ,5,1,,1,0,0,0,0,0
850,ברקוט ספשיאליסט ,5,1,,1,0,0,0,0,0
851,דוקטור פון ,4,1,,0,0,0,0,0,0
852,המרכז הישראלי למיכלי הדחה ,5,1,,0,0,0,0,0,0
853,טופ קומרס ,5,1,,1,0,0,0,0,0
854,טרמו סטאר ,4,1,,0,0,0,0,0,0
855,ראש ,5,1,,0,1,0,0,0,0
856,וולקנו ,4,1,,1,1,0,0,0,0
857,קרח הארץ ,4,1,,1,0,0,0,0,0
858,אופטיקה איי סי ,4,1,,1,1,0,0,0,0
859,מרקו קרמיקה אונליין ,4,1,,1,1,0,0,0,0
860,מכשיר ביתי לטיפול בכאבים ,3,1,,70,0,0,0,0,0
861,טופ אופיס ,3,1,,94,0,0,0,0,0
862,קופי קייק ,3,1,,1,0,0,0,0,0
863,בסט פיקס ,2,1,,818,0,0,0,0,0
864,הכל בו לגן ,3,0,,622,,,,,
865,ג יי בי סטור ,18,0,,8,,,,,
866,גוד סטאף ,14,0,,9,,,,,
867,סמארטק ,7,0,,420,,,,,
868,דוגית ,17,0,,374,,,,,
869,קורל מוזיקה ,16,0,,320,,,,,
870,Weekend ,15,0,,289,,,,,
871,אספרסוטק ,3,0,,238,,,,,
872,FetishDeal ,12,0,,171,,,,,
873,Kitchenware ,12,0,,115,,,,,
874,סי אס אס אן ,11,0,,144,,,,,
875,sewing ,11,0,,139,,,,,
876,אוניברסל טכניק ,11,0,,82,,,,,
877,קוסמטישופ ,11,0,,46,,,,,
878,סייף סנטר ,10,0,,51,,,,,
879,,10,0,,39,,,,,
880,בלו שופ ,10,0,,37,,,,,
881,מיקרו ישראל ,10,0,,37,,,,,
882,המאוורר ,10,0,,29,,,,,
883,Ariel Medic ltd ,8,0,,26,,,,,
884,שוגון ,10,0,,26,,,,,
885,טום ,9,0,,19,,,,,
886,שי סחר ,9,0,,8,,,,,
887,זיקטק ,8,0,,2,,,,,
888,אריגי גד ,8,0,,4,,,,,
889,חבוש ,7,0,,3,,,,,
890,וינופו ,8,0,,3,,,,,
891,קונים ירוק ,8,0,,1,,,,,
892,מדיק סנטר ,8,0,,1,,,,,
893,עידן וי אי פי ,7,0,,1,,,,,
894,ספא סטור ,7,0,,1,,,,,
895,עולם הרחפנים הישראלי ,7,0,,1,,,,,
896,Price4U ,7,0,,1,,,,,
897,סנטור ,7,0,,1,,,,,
898,נסלי ,2,0,,417,,,,,
899,איי די גרדן ,1,0,,71,,,,,
